path,size,type,Channel_1,Channel_2,Channel_3,Channel_4,Supplementation,Sheer_Stress,replication
figure2_6/BSA_01/static/BSA_static-115.tif,12583695,file,Anti-GM130,DAPI,Human VE-Cadherin antibody,-,BSA 0.1,static,rep 1
figure2_6/BSA_BMP9/static/BSA_BMP9_static-23.tif,12583695,file,Anti-GM130,DAPI,Human VE-Cadherin antibody,-,BSA 0.1 BMP9 1ng/ml,static,rep 3
figure2_6/EGM2_regular/static/EGM2_regular_static-49.tif,12583695,file,Anti-GM130,DAPI,Human VE-Cadherin antibody,-,EGM2,static,rep 3
figure2_6/EGM2_regular/static/EGM2_regular_static-50.tif,12583695,file,Anti-GM130,DAPI,Human VE-Cadherin antibody,-,EGM2,static,rep 3
figure2_6/BSA_01/static/BSA_static-111.tif,12583695,file,Anti-GM130,DAPI,Human VE-Cadherin antibody,-,BSA 0.1,static,rep 1
figure2_6/EGM2_regular/6dyn/EGM2_regular_6dyn-86.tif,12583695,file,Anti-GM130,DAPI,Human VE-Cadherin antibody,-,EGM2,6dyne/cm² - 4h,rep 3
figure2_6/BSA_BMP9/6dyn/BSA_BMP9_6dyn-29.tif,12583695,file,Anti-GM130,DAPI,Human VE-Cadherin antibody,-,BSA 0.1 BMP9 1ng/ml,6dyne/cm² - 4h,rep 3
figure2_6/BSA_01/6dyn/BSA_6dyn-146.tif,12583695,file,Anti-GM130,DAPI,Human VE-Cadherin antibody,-,BSA 0.1,6dyne/cm² - 4h,rep 3
figure2_6/EGM2_regular/6dyn/EGM2_regular_6dyn-88.tif,12583695,file,Anti-GM130,DAPI,Human VE-Cadherin antibody,-,EGM2,6dyne/cm² - 4h,rep 3
figure2_6/EGM2_regular/6dyn/EGM2_regular_6dyn-27.tif,12583695,file,Anti-GM130,DAPI,Human VE-Cadherin antibody,-,EGM2,6dyne/cm² - 4h,rep 1
figure2_6/EGM2_regular/20dyn/EGM2_regular_18-20dyn-60.tif,12583695,file,Anti-GM130,DAPI,Human VE-Cadherin antibody,-,EGM2,20dyne/cm² - 4h,rep 2
figure2_6/BSA_BMP9/20dyn/BSA_BMP9_20dyn-8.tif,12583695,file,Anti-GM130,DAPI,Human VE-Cadherin antibody,-,BSA 0.1 BMP9 1ng/ml,20dyne/cm² - 4h,rep 1
figure2_6/EGM2_regular/20dyn/EGM2_regular_18-20dyn-06.tif,12583695,file,Anti-GM130,DAPI,Human VE-Cadherin antibody,-,EGM2,20dyne/cm² - 4h,rep 1
figure2_6/BSA_BMP9/20dyn/BSA_BMP9_20dyn-2.tif,12583695,file,Anti-GM130,DAPI,Human VE-Cadherin antibody,-,BSA 0.1 BMP9 1ng/ml,20dyne/cm² - 4h,rep 1
figure2_6/EGM2_regular/20dyn/EGM2_regular_18-20dyn-53.tif,12583695,file,Anti-GM130,DAPI,Human VE-Cadherin antibody,-,EGM2,20dyne/cm² - 4h,rep 2
