edge_type,n_datasets,mean_frac,max_frac,cv_frac
unassigned__unassigned,9,0.288221292290382,0.811382784291,0.837466929801546
endothelial__unassigned,8,0.0234520590138696,0.116731517509728,1.49107724934356
fibroblast__unassigned,7,0.040844817688526,0.148525541534517,1.18136664235881
fibroblast__fibroblast,5,0.0495405670718578,0.417572035899858,2.62152760485911
myeloid__unassigned,5,0.011954631874611,0.0612881886890007,1.56689833239318
neural__neural,4,0.0974132762243489,0.462098722983869,1.72244450639901
epithelial__unassigned,4,0.0481193971893611,0.236231313926043,1.65619042012322
neural__unassigned,3,0.0478852668297581,0.283894982990299,2.06663048368481
epithelial__epithelial,3,0.0465393145692439,0.380571618327048,2.57212102308275
glia__neural,3,0.0336646705150855,0.244466865624173,2.2989742599087
glia__glia,3,0.0271714417923078,0.169924972822697,2.01099321226366
bcell__unassigned,3,0.0214464329425581,0.116731517509728,1.87073129972004
endothelial__neural,3,0.0145461046189016,0.0889345537644506,1.98269576854978
bcell__bcell,3,0.00506379960132267,0.0350194552529183,2.1587286351345
glia__unassigned,2,0.0263928150352533,0.194646886781519,2.38545752616866
tumor_breast__unassigned,2,0.0184399499413956,0.149781778919996,2.57125645805226
endothelial__glia,2,0.00933902093014614,0.0833866826417572,2.79878286081586
tcell__unassigned,2,0.00854945464652172,0.0599347617816573,2.25224688218298
endothelial__endothelial,2,0.00833504102356715,0.0375533435965065,1.78078902728314
tumor_breast__tumor_breast,2,0.00745239201141177,0.0536048297571435,2.34800700372938
epithelial__fibroblast,2,0.00246506992785655,0.0175701279725108,2.27741773937468
proliferating__proliferating,1,0.0357628739113998,0.357627544609198,3.16226592437827
proliferating__unassigned,1,0.0315735760600193,0.31523833458993,3.15674369622125
fibroblast__tumor_breast,1,0.0197035799933471,0.193062959713881,3.09208132204886
bcell__fibroblast,1,0.0119549101768649,0.114177744787098,3.00714174028074
bcell__endothelial,1,0.00633379005101757,0.0622568093385214,3.10263405181697
mural_smc__unassigned,1,0.00584846641388425,0.0483762498999602,2.56886314438355
mural_smc__mural_smc,1,0.00546098844762572,0.0542723255933404,3.14057841402413
tumor_prolif__unassigned,1,0.00428015564202335,0.0428015564202335,3.16227766016838
tumor_prolif__tumor_prolif,1,0.00389105058365759,0.0389105058365759,3.16227766016838
endothelial__myeloid,1,0.00308168123874812,0.0233463035019455,2.35483092533571
bcell__epithelial,1,0.00274847704905889,0.027408917933814,3.15258563899518
bcell__tumor_breast,1,0.00259354902338479,0.0259126796679938,3.15918858038302
tcell__tcell,1,0.00218238334467062,0.01789869067352,2.59269193499825
hepatocyte__unassigned,1,0.00197410272786047,0.0194059347092825,3.10309417971225
neural__tumor_prolif,1,0.00194552529182879,0.0194552529182879,3.16227766016838
fibroblast__myeloid,1,0.00189494078165483,0.0144010705758908,2.34725646833985
endothelial__tumor_prolif,1,0.00155642023346304,0.0155642023346304,3.16227766016838
myeloid__myeloid,1,0.00132579496261215,0.0104472391611795,2.47286090600613
myeloid__neural,1,0.00128286925522942,0.0116948081412644,2.85995529049751
myeloid__tcell,1,0.00121235232592535,0.0111049438099728,2.87899224769186
glia__myeloid,1,0.00119764852287801,0.0113616891190715,2.9846283857504
fibroblast__neural,1,0.00118019962363277,0.0112495581049604,2.99971283342116
bcell__tumor_prolif,1,0.00116731517509728,0.0116731517509728,3.16227766016838
fibroblast__tcell,1,0.00111497770981494,0.00873644672212169,2.49588453887566
fibroblast__glia,1,0.000889147452205918,0.00868293486103914,3.08071351988437
fibroblast__mural_smc,1,0.000819858225101162,0.00759466151914732,2.90719109260609
basal_myoep__unassigned,1,0.000741619171724767,0.00737161453185115,3.14121468961061
endothelial__fibroblast,0,0.000974412823555015,0.0039516312585655,1.43178139740372
endothelial__tcell,0,0.000702108061608495,0.00389105058365759,1.99443921720876
epithelial__myeloid,0,0.000668508488960939,0.00262528300069044,1.50572372929188
endothelial__epithelial,0,0.000604164551945088,0.0029263475649898,1.74250406546974
bcell__tcell,0,0.000566847201813658,0.00389105058365759,2.16231085714421
bcell__myeloid,0,0.000522376552422295,0.00389105058365759,2.31018032859744
myeloid__tumor_breast,0,0.000447276986379421,0.00406788424398181,2.85840650781885
bcell__neural,0,0.000392717833137351,0.00389105058365759,3.13008772727578
myeloid__tumor_prolif,0,0.000389105058365759,0.00389105058365759,3.16227766016838
tcell__tumor_prolif,0,0.000389105058365759,0.00389105058365759,3.16227766016838
mast__unassigned,0,0.000388889277765608,0.00119755470734044,1.33461406169664
epithelial__tumor_breast,0,0.000333490238732427,0.00332654085372344,3.15347782117637
epithelial__tcell,0,0.000293348658347737,0.00250248755624624,2.67986264609234
epithelial__mural_smc,0,0.000251303698344024,0.00225044704342144,2.80934425949767
endothelial__mural_smc,0,0.000231895530372975,0.00187178902178418,2.53038438924257
tcell__tumor_breast,0,0.000190088048784197,0.00190088048784197,3.16227766016838
nk__unassigned,0,0.000186189855791273,0.00105474773850379,2.067750665942
endothelial__proliferating,0,0.000184420363607263,0.00184300913127251,3.16000250308231
mural_smc__tcell,0,0.000159905813448841,0.00140115413053787,2.75378527891663
hepatocyte__hepatocyte,0,0.000138189274729194,0.00138189274729194,3.16227766016838
epithelial__hepatocyte,0,0.000127787931470007,0.00127787931470007,3.16227766016838
mural_smc__myeloid,0,0.000108336790840522,0.000806290740079339,2.33636014819908
endothelial__tumor_breast,0,0.000107589835611855,0.00107589835611855,3.16227766016838
fibroblast__proliferating,0,0.000104522458073181,0.00100527770796683,3.02908519538003
basal_myoep__tumor_breast,0,9.16224395139829e-05,0.000916224395139829,3.16227766016838
basal_myoep__fibroblast,0,8.43990936601834e-05,0.000843990936601834,3.16227766016838
fibroblast__mast,0,7.88248063715193e-05,0.000524643014644383,2.11891096158791
