edge_type,xenium_breast,xenium_mouse_brain,xenium_colon,allen_merfish,mibi_glioma,visium_breast,stereoseq_brain,stereoseq_embryo_e95,cosmx_colon,cosmx_pancreas
basal_myoep__basal_myoep,0.000657704648793321,0,0,0,0,0,0,0,0,0
basal_myoep__endothelial,0.000129259873173254,0,0,0,0,0,0,0,0,0
basal_myoep__epithelial,0.000418193707325233,0,0,0,0,0,0,0,0,0
basal_myoep__fibroblast,0.000843990936601834,0,0,0,0,0,0,0,0,0
basal_myoep__mast,3.80176097568394e-06,0,0,0,0,0,0,0,0,0
basal_myoep__mural_smc,3.80176097568394e-06,0,0,0,0,0,0,0,0,3.71476544970951e-06
basal_myoep__myeloid,0.000452409556106389,0,0,0,0,0,0,0,0,0
basal_myoep__tcell,0.000247114463419456,0,0,0,0,0,0,0,0,0
basal_myoep__tumor_breast,0.000916224395139829,0,0,0,0,0,0,0,0,0
basal_myoep__unassigned,0.00737161453185115,0,0,0,0,0,0,0,0,4.45771853965141e-05
bcell__bcell,3.04140878054715e-05,0,0.00134740141453258,0,0.0350194552529183,0.00823267426951886,0,0,0.00599319192665264,1.4859061798838e-05
bcell__endothelial,5.32246536595751e-05,0,5.9725240005877e-05,0,0.0622568093385214,0,0,0,0.000927278858042037,4.08624199468046e-05
bcell__epithelial,3.80176097568394e-06,0,2.74736104027034e-05,0,0,0,0,0,0.027408917933814,4.45771853965141e-05
bcell__fibroblast,0.000136863395124622,0,0.000309376743230443,0,0,0.114177744787098,0,0,0.00492140207774691,3.71476544970951e-06
bcell__mast,3.80176097568394e-06,0,7.16702880070524e-06,0,0,0,0,0,8.83122721944797e-05,0
bcell__myeloid,0.000155872200003041,0,4.6585687204584e-05,0,0.00389105058365759,0.000404885619812403,0,0,0.000710512371746496,1.4859061798838e-05
bcell__nk,3.80176097568394e-06,0,9.55603840094031e-06,0,0,0,0,0,4.01419419065817e-06,0
bcell__tcell,0.000783162760990891,0,0.00099024447929744,0,0.00389105058365759,0,0,0,4.01419419065817e-06,0
bcell__tumor_breast,2.28105658541036e-05,0,0,0,0,0.0259126796679938,0,0,0,0
bcell__unassigned,0.00132301281953801,0,0.00487835760368003,0,0.116731517509728,0.0196369525609015,0,0,0.0710512371746496,0.000843251757084058
endothelial__endothelial,0.00486245228789976,0.00392741783173605,0.001280509145726,0.0375533435965065,0.0350194552529183,0,4.09050933658756e-05,8.37731423305688e-05,0.000140496796673036,0.000442057088515431
endothelial__epithelial,8.36387414650466e-05,0,0.00103683016650202,0,0,0,0,0,0.0029263475649898,0.001994829046494
endothelial__fibroblast,0.00276388022932222,0.0039516312585655,0.00167947374896526,0,0,0,3.40875778048963e-05,0,0.000846994974228873,0.000468060446663398
endothelial__mast,3.04140878054715e-05,0,2.03065816019982e-05,0,0,0,0,0,8.02838838131634e-06,2.9718123597676e-05
endothelial__mural_smc,0.000361167292689974,0,0.00187178902178418,0,0,0,2.04525466829378e-05,0,3.21135535252653e-05,3.34328890473856e-05
endothelial__myeloid,0.00233428123906994,8.71683365860037e-05,0.000180370224817748,0.00426611686034636,0.0233463035019455,0,2.72700622439171e-05,0,0.000192681321151592,0.000382620841320079
endothelial__nk,0.000129259873173254,0,2.86681152028209e-05,0,0,0,0,0,4.01419419065817e-06,3.71476544970951e-06
endothelial__tcell,0.00269164677078423,0,0.000438383261643137,0,0.00389105058365759,0,0,0,0,0
endothelial__tumor_breast,0.00107589835611855,0,0,0,0,0,0,0,0,0
endothelial__unassigned,0.0215978041028604,0.0292013927563112,0.008506068681637,0,0.116731517509728,0,0.0058221582890763,0.00636675881712323,0.0100796416127427,0.036215248369218
epithelial__epithelial,0.0062006721513405,0,0.380571618327048,0,0,0,0,0,0.0757679153486729,0.0028529398653769
epithelial__fibroblast,0.000441004273179337,0,0.00591518777018206,0,0,0,0,0,0.0175701279725108,0.000724379262693354
epithelial__mural_smc,1.52070439027357e-05,0,0.00225044704342144,0,0,0,0,0,0.000228809068867516,1.85738272485475e-05
epithelial__myeloid,0.000927629678066881,0,0.00224805803382121,0,0,0,0,0,0.00262528300069044,0.000884114177030862
epithelial__tcell,0.000399184902446813,0,0.00250248755624624,0,0,0,0,0,2.80993593346072e-05,3.71476544970951e-06
epithelial__tumor_breast,0.00332654085372344,0,8.36153360082277e-06,0,0,0,0,0,0,0
epithelial__unassigned,0.0325772898006357,0,0.127358101788532,0,0,0,0,0,0.236231313926043,0.0850272663784009
fibroblast__fibroblast,0.0285018020347025,0.0062615921780946,0.0325968414904075,0,0,0.417572035899858,0,0.00737203652509006,0.00288219142889256,0.000219171161532861
fibroblast__mast,0.000524643014644383,0,0.000175592205617278,0,0,0,0,0,8.42980780038215e-05,3.71476544970951e-06
fibroblast__mural_smc,0.000300339117079031,0,0.00759466151914732,0,0,0,0,0,0.00028500778753673,1.85738272485475e-05
fibroblast__myeloid,0.0144010705758908,7.26402804883364e-05,0.00174278250337149,0,0,0.00168702341588501,1.36350311219585e-05,0,0.000790796255559659,0.000241459754231118
fibroblast__nk,0.00010644930731915,0,0.000182759234417984,0,0,0,0,0,4.01419419065817e-06,0
fibroblast__tcell,0.00873644672212169,0,0.00240931618183708,0,0,0,0,0,4.01419419065817e-06,0
fibroblast__tumor_breast,0.00397284021958971,0,0,0,0,0.193062959713881,0,0,0,0
fibroblast__unassigned,0.0758451314648945,0.0226395540855315,0.0801058809054824,0,0,0.148525541534517,0.000790831805073595,0.0147440730501801,0.0489209846015511,0.0168761794380303
mast__mast,1.52070439027357e-05,0,9.55603840094031e-06,0,0,0,0,0,0,0
