dataset,xenium_breast,xenium_mouse_brain,xenium_colon,allen_merfish,mibi_glioma,visium_breast,stereoseq_brain,stereoseq_embryo_e95,cosmx_colon,cosmx_pancreas
xenium_breast,0,0.85660292569766,0.658872142286058,0.99273253045829,0.730208903135773,0.808259771008006,0.798381215736629,0.778509660181548,0.597148252661848,0.542303341569821
xenium_mouse_brain,0.85660292569766,0,0.891197808912174,0.621185940300954,0.728189442445935,0.946672028758933,0.484235506205316,0.893343324347668,0.865277060964924,0.843017971825093
xenium_colon,0.658872142286058,0.891197808912174,0,0.997516931213442,0.831592538847696,0.869049426953421,0.868122325412037,0.840827281881927,0.513715329750886,0.682256677619379
allen_merfish,0.99273253045829,0.621185940300954,0.997516931213442,0,0.876362198043428,1,0.784669932835087,0.999785255050894,0.999270556554262,0.998421284554386
mibi_glioma,0.730208903135773,0.728189442445935,0.831592538847696,0.876362198043428,0,0.948235642971695,0.730082135523792,0.822708661362892,0.683909940811536,0.65644082767177
visium_breast,0.808259771008006,0.946672028758933,0.869049426953421,1,0.948235642971695,0,0.976434276114618,0.946250783676075,0.895592294537268,0.949877904823063
stereoseq_brain,0.798381215736629,0.484235506205316,0.868122325412037,0.784669932835087,0.730082135523792,0.976434276114618,0,0.833048296947921,0.782532429618431,0.715564567614639
stereoseq_embryo_e95,0.778509660181548,0.893343324347668,0.840827281881927,0.999785255050894,0.822708661362892,0.946250783676075,0.833048296947921,0,0.769345716304428,0.713487298327091
cosmx_colon,0.597148252661848,0.865277060964924,0.513715329750886,0.999270556554262,0.683909940811536,0.895592294537268,0.782532429618431,0.769345716304428,0,0.419237247873592
cosmx_pancreas,0.542303341569821,0.843017971825093,0.682256677619379,0.998421284554386,0.65644082767177,0.949877904823063,0.715564567614639,0.713487298327091,0.419237247873592,0
