source,native,name,p_value,intersection_size,term_size,query_size,precision,recall,panel,background
GO:CC,GO:0030054,cell junction,5.272628229348464e-14,26,2153,47,0.5531914893617021,0.012076172782164421,brain_3plat,whole_genome_bg
GO:CC,GO:0045202,synapse,1.06344800750425e-13,23,1570,47,0.48936170212765956,0.01464968152866242,brain_3plat,whole_genome_bg
GO:CC,GO:0098793,presynapse,7.95525199175153e-12,15,631,42,0.35714285714285715,0.02377179080824089,brain_3plat,whole_genome_bg
GO:CC,GO:0042995,cell projection,5.155262017863285e-08,20,2292,44,0.45454545454545453,0.008726003490401396,brain_3plat,whole_genome_bg
GO:CC,GO:0120025,plasma membrane bounded cell projection,1.1823999281676935e-07,19,2186,43,0.4418604651162791,0.00869167429094236,brain_3plat,whole_genome_bg
GO:CC,GO:0043005,neuron projection,3.0465339337993037e-07,12,1130,29,0.41379310344827586,0.010619469026548672,brain_3plat,whole_genome_bg
GO:CC,GO:0060076,excitatory synapse,5.533365680346606e-07,6,67,47,0.1276595744680851,0.08955223880597014,brain_3plat,whole_genome_bg
GO:BP,GO:0050793,regulation of developmental process,1.487931899105018e-06,21,2444,48,0.4375,0.008592471358428805,brain_3plat,whole_genome_bg
GO:CC,GO:0030424,axon,1.790248278891402e-06,9,566,29,0.3103448275862069,0.015901060070671377,brain_3plat,whole_genome_bg
GO:BP,GO:0022008,neurogenesis,1.8319408870877752e-06,18,1685,49,0.3673469387755102,0.010682492581602374,brain_3plat,whole_genome_bg
GO:BP,GO:0048731,system development,2.324434110525502e-06,26,3806,50,0.52,0.006831318970047294,brain_3plat,whole_genome_bg
GO:CC,GO:0008021,synaptic vesicle,3.1322253761649414e-06,7,176,42,0.16666666666666666,0.03977272727272727,brain_3plat,whole_genome_bg
GO:CC,GO:0070382,exocytic vesicle,4.5862453455006455e-06,7,186,42,0.16666666666666666,0.03763440860215054,brain_3plat,whole_genome_bg
GO:BP,GO:0099536,synaptic signaling,5.905031373241461e-06,11,808,33,0.3333333333333333,0.013613861386138614,brain_3plat,whole_genome_bg
GO:BP,GO:0007399,nervous system development,6.091568643787132e-06,20,2310,49,0.40816326530612246,0.008658008658008658,brain_3plat,whole_genome_bg
GO:CC,GO:0030133,transport vesicle,7.942682951563713e-06,8,311,42,0.19047619047619047,0.02572347266881029,brain_3plat,whole_genome_bg
GO:BP,GO:0007275,multicellular organism development,1.950296474124516e-05,27,4535,50,0.54,0.005953693495038589,brain_3plat,whole_genome_bg
GO:CC,GO:0098590,plasma membrane region,3.6544665179280805e-05,13,1202,47,0.2765957446808511,0.010815307820299502,brain_3plat,whole_genome_bg
GO:BP,GO:0051093,negative regulation of developmental process,4.5223071405457567e-05,13,990,48,0.2708333333333333,0.013131313131313131,brain_3plat,whole_genome_bg
GO:BP,GO:0098916,anterograde trans-synaptic signaling,5.5460954551535004e-05,10,771,33,0.30303030303030304,0.01297016861219196,brain_3plat,whole_genome_bg
GO:BP,GO:0007268,chemical synaptic transmission,5.5460954551535004e-05,10,771,33,0.30303030303030304,0.01297016861219196,brain_3plat,whole_genome_bg
GO:BP,GO:0099537,trans-synaptic signaling,6.184850848403745e-05,10,780,33,0.30303030303030304,0.01282051282051282,brain_3plat,whole_genome_bg
GO:BP,GO:0048699,generation of neurons,6.505235730666325e-05,15,1437,48,0.3125,0.010438413361169102,brain_3plat,whole_genome_bg
GO:CC,GO:0030658,transport vesicle membrane,0.00010358384692074523,6,180,42,0.14285714285714285,0.03333333333333333,brain_3plat,whole_genome_bg
GO:CC,GO:0097060,synaptic membrane,0.00018217865715853586,8,416,47,0.1702127659574468,0.019230769230769232,brain_3plat,whole_genome_bg
GO:BP,GO:0051094,positive regulation of developmental process,0.00020784364519624635,13,1278,43,0.3023255813953488,0.010172143974960876,brain_3plat,whole_genome_bg
GO:CC,GO:0030659,cytoplasmic vesicle membrane,0.0002425010270947545,10,871,42,0.23809523809523808,0.011481056257175661,brain_3plat,whole_genome_bg
GO:CC,GO:0099501,exocytic vesicle membrane,0.00024919175367001746,5,113,42,0.11904761904761904,0.04424778761061947,brain_3plat,whole_genome_bg
GO:CC,GO:0030672,synaptic vesicle membrane,0.00024919175367001746,5,113,42,0.11904761904761904,0.04424778761061947,brain_3plat,whole_genome_bg
GO:CC,GO:0012506,vesicle membrane,0.0002715828148781005,10,882,42,0.23809523809523808,0.011337868480725623,brain_3plat,whole_genome_bg
GO:BP,GO:0007267,cell-cell signaling,0.0002826355319077758,11,1179,33,0.3333333333333333,0.009329940627650551,brain_3plat,whole_genome_bg
GO:MF,GO:0099534,calcium ion binding involved in regulation of presynaptic cytosolic calcium ion concentration,0.00033323742417507094,2,2,21,0.09523809523809523,1.0,brain_3plat,whole_genome_bg
GO:CC,GO:0098978,glutamatergic synapse,0.0003521549925394384,9,618,47,0.19148936170212766,0.014563106796116505,brain_3plat,whole_genome_bg
GO:CC,GO:0098839,postsynaptic density membrane,0.0003694713226937859,5,109,47,0.10638297872340426,0.045871559633027525,brain_3plat,whole_genome_bg
GO:BP,GO:0045595,regulation of cell differentiation,0.0003932231699289714,14,1561,44,0.3181818181818182,0.008968609865470852,brain_3plat,whole_genome_bg
GO:CC,GO:0098588,bounding membrane of organelle,0.000403251087106955,13,1687,42,0.30952380952380953,0.007705986959098993,brain_3plat,whole_genome_bg
GO:CC,GO:0099503,secretory vesicle,0.0004325463677075693,8,527,42,0.19047619047619047,0.015180265654648957,brain_3plat,whole_genome_bg
GO:CC,GO:0097450,astrocyte end-foot,0.00043880077780842464,2,10,6,0.3333333333333333,0.2,brain_3plat,whole_genome_bg
GO:MF,GO:0140788,L-glutamate uniporter activity,0.0006471573237306465,2,3,17,0.11764705882352941,0.6666666666666666,brain_3plat,whole_genome_bg
GO:BP,GO:0065008,regulation of biological quality,0.0009142835456622619,19,2745,50,0.38,0.0069216757741347905,brain_3plat,whole_genome_bg
GO:BP,GO:0008283,cell population proliferation,0.0010388547629320102,15,1868,46,0.32608695652173914,0.008029978586723769,brain_3plat,whole_genome_bg
GO:CC,GO:0043679,axon terminus,0.0012205304954646585,4,104,29,0.13793103448275862,0.038461538461538464,brain_3plat,whole_genome_bg
