source,native,name,p_value,intersection_size,term_size,query_size,precision,recall,panel,background
GO:CC,GO:0030054,cell junction,1.1468385199121514e-15,28,2153,49,0.5714285714285714,0.013005109150023224,brain_xenium_allen,whole_genome_bg
GO:CC,GO:0045202,synapse,1.541332705576811e-15,25,1570,49,0.5102040816326531,0.01592356687898089,brain_xenium_allen,whole_genome_bg
GO:CC,GO:0098793,presynapse,2.5953274240677128e-11,15,631,45,0.3333333333333333,0.02377179080824089,brain_xenium_allen,whole_genome_bg
GO:CC,GO:0042995,cell projection,5.321435973729102e-09,22,2292,48,0.4583333333333333,0.009598603839441536,brain_xenium_allen,whole_genome_bg
GO:CC,GO:0120025,plasma membrane bounded cell projection,7.952794984675547e-09,19,2186,38,0.5,0.00869167429094236,brain_xenium_allen,whole_genome_bg
GO:CC,GO:0043005,neuron projection,1.9824359009497143e-07,15,1130,47,0.3191489361702128,0.01327433628318584,brain_xenium_allen,whole_genome_bg
GO:BP,GO:0022008,neurogenesis,3.113879076609598e-07,19,1685,50,0.38,0.011275964391691394,brain_xenium_allen,whole_genome_bg
GO:CC,GO:0030424,axon,3.954047777987809e-07,9,566,25,0.36,0.015901060070671377,brain_xenium_allen,whole_genome_bg
GO:BP,GO:0007399,nervous system development,1.2860392578432919e-06,21,2310,50,0.42,0.00909090909090909,brain_xenium_allen,whole_genome_bg
GO:BP,GO:0048699,generation of neurons,1.826936916180648e-06,17,1437,50,0.34,0.011830201809324982,brain_xenium_allen,whole_genome_bg
GO:BP,GO:0048731,system development,2.2560684013923994e-06,26,3806,50,0.52,0.006831318970047294,brain_xenium_allen,whole_genome_bg
GO:BP,GO:0050793,regulation of developmental process,3.589983448102034e-06,21,2444,50,0.42,0.008592471358428805,brain_xenium_allen,whole_genome_bg
GO:CC,GO:0008021,synaptic vesicle,5.1773761420816114e-06,7,176,45,0.15555555555555556,0.03977272727272727,brain_xenium_allen,whole_genome_bg
GO:CC,GO:0070382,exocytic vesicle,7.5729523726312e-06,7,186,45,0.15555555555555556,0.03763440860215054,brain_xenium_allen,whole_genome_bg
GO:CC,GO:0060076,excitatory synapse,8.133441518186964e-06,5,67,36,0.1388888888888889,0.07462686567164178,brain_xenium_allen,whole_genome_bg
GO:CC,GO:0030133,transport vesicle,1.405052419451324e-05,8,311,45,0.17777777777777778,0.02572347266881029,brain_xenium_allen,whole_genome_bg
GO:BP,GO:0007275,multicellular organism development,1.892934813120854e-05,27,4535,50,0.54,0.005953693495038589,brain_xenium_allen,whole_genome_bg
GO:CC,GO:0098590,plasma membrane region,2.1514537221301262e-05,12,1202,38,0.3157894736842105,0.009983361064891847,brain_xenium_allen,whole_genome_bg
GO:BP,GO:0099536,synaptic signaling,3.0730262045752304e-05,11,808,38,0.2894736842105263,0.013613861386138614,brain_xenium_allen,whole_genome_bg
GO:CC,GO:0097450,astrocyte end-foot,8.781543718403101e-05,2,10,3,0.6666666666666666,0.2,brain_xenium_allen,whole_genome_bg
GO:CC,GO:0030658,transport vesicle membrane,0.00015802693826041014,6,180,45,0.13333333333333333,0.03333333333333333,brain_xenium_allen,whole_genome_bg
GO:BP,GO:0051094,positive regulation of developmental process,0.00019523376442834496,14,1278,50,0.28,0.010954616588419406,brain_xenium_allen,whole_genome_bg
GO:CC,GO:0043679,axon terminus,0.00020555075886257617,4,104,19,0.21052631578947367,0.038461538461538464,brain_xenium_allen,whole_genome_bg
GO:MF,GO:0140788,L-glutamate uniporter activity,0.0002141754608520476,2,3,10,0.2,0.6666666666666666,brain_xenium_allen,whole_genome_bg
GO:CC,GO:0150034,distal axon,0.00023881408542916071,5,261,19,0.2631578947368421,0.019157088122605363,brain_xenium_allen,whole_genome_bg
GO:BP,GO:0098916,anterograde trans-synaptic signaling,0.00023901242932202008,10,771,38,0.2631578947368421,0.01297016861219196,brain_xenium_allen,whole_genome_bg
GO:BP,GO:0007268,chemical synaptic transmission,0.00023901242932202008,10,771,38,0.2631578947368421,0.01297016861219196,brain_xenium_allen,whole_genome_bg
GO:CC,GO:0030659,cytoplasmic vesicle membrane,0.0002604768034071179,7,871,18,0.3888888888888889,0.008036739380022962,brain_xenium_allen,whole_genome_bg
GO:BP,GO:0099537,trans-synaptic signaling,0.0002660958918333654,10,780,38,0.2631578947368421,0.01282051282051282,brain_xenium_allen,whole_genome_bg
GO:CC,GO:0012506,vesicle membrane,0.00028326760379569733,7,882,18,0.3888888888888889,0.007936507936507936,brain_xenium_allen,whole_genome_bg
GO:CC,GO:0098552,side of membrane,0.00032824444717882505,9,599,48,0.1875,0.015025041736227046,brain_xenium_allen,whole_genome_bg
GO:CC,GO:0097449,astrocyte projection,0.0003336198524259262,2,19,3,0.6666666666666666,0.10526315789473684,brain_xenium_allen,whole_genome_bg
GO:BP,GO:0045595,regulation of cell differentiation,0.0003418088622703835,15,1561,50,0.3,0.009609224855861628,brain_xenium_allen,whole_genome_bg
GO:CC,GO:0097060,synaptic membrane,0.00034863171989562875,7,416,36,0.19444444444444445,0.016826923076923076,brain_xenium_allen,whole_genome_bg
GO:CC,GO:0099501,exocytic vesicle membrane,0.00035411807295579337,5,113,45,0.1111111111111111,0.04424778761061947,brain_xenium_allen,whole_genome_bg
GO:CC,GO:0030672,synaptic vesicle membrane,0.00035411807295579337,5,113,45,0.1111111111111111,0.04424778761061947,brain_xenium_allen,whole_genome_bg
GO:CC,GO:0044306,neuron projection terminus,0.0003644483733630766,4,120,19,0.21052631578947367,0.03333333333333333,brain_xenium_allen,whole_genome_bg
