source,native,name,p_value,intersection_size,term_size,query_size,precision,recall,panel,background
GO:CC,GO:0070062,extracellular exosome,5.9494350278176544e-09,22,2111,46,0.4782608695652174,0.010421601136901942,breast_xenium_visium,whole_genome_bg
GO:BP,GO:0030155,regulation of cell adhesion,6.323430432663722e-09,14,780,33,0.42424242424242425,0.017948717948717947,breast_xenium_visium,whole_genome_bg
GO:CC,GO:1903561,extracellular vesicle,7.855541599441531e-09,22,2141,46,0.4782608695652174,0.010275572162540868,breast_xenium_visium,whole_genome_bg
GO:CC,GO:0043230,extracellular organelle,7.928046956088398e-09,22,2142,46,0.4782608695652174,0.01027077497665733,breast_xenium_visium,whole_genome_bg
GO:CC,GO:0065010,extracellular membrane-bounded organelle,7.928046956088398e-09,22,2142,46,0.4782608695652174,0.01027077497665733,breast_xenium_visium,whole_genome_bg
GO:BP,GO:0007155,cell adhesion,2.3316381510419123e-08,17,1512,33,0.5151515151515151,0.011243386243386243,breast_xenium_visium,whole_genome_bg
GO:CC,GO:0031982,vesicle,7.533659894530319e-08,28,4032,47,0.5957446808510638,0.006944444444444444,breast_xenium_visium,whole_genome_bg
GO:CC,GO:0005615,extracellular space,9.252276578176597e-08,25,3252,46,0.5434782608695652,0.007687576875768758,breast_xenium_visium,whole_genome_bg
GO:BP,GO:0007162,negative regulation of cell adhesion,5.452038414235266e-07,9,287,32,0.28125,0.0313588850174216,breast_xenium_visium,whole_genome_bg
GO:CC,GO:0005576,extracellular region,4.824147979655185e-06,26,4249,46,0.5652173913043478,0.006119086843963286,breast_xenium_visium,whole_genome_bg
GO:MF,GO:0050839,cell adhesion molecule binding,5.864697024789059e-06,9,563,25,0.36,0.015985790408525755,breast_xenium_visium,whole_genome_bg
GO:CC,GO:0070161,anchoring junction,5.919423329053741e-06,13,911,46,0.2826086956521739,0.014270032930845226,breast_xenium_visium,whole_genome_bg
GO:BP,GO:0030334,regulation of cell migration,1.3698288697015932e-05,14,944,46,0.30434782608695654,0.014830508474576272,breast_xenium_visium,whole_genome_bg
GO:BP,GO:0048513,animal organ development,1.9467850302839998e-05,23,3018,46,0.5,0.007620941020543406,breast_xenium_visium,whole_genome_bg
GO:BP,GO:0022407,regulation of cell-cell adhesion,2.362681249946243e-05,8,493,21,0.38095238095238093,0.016227180527383367,breast_xenium_visium,whole_genome_bg
GO:BP,GO:2000145,regulation of cell motility,3.025205755560614e-05,14,1005,46,0.30434782608695654,0.013930348258706468,breast_xenium_visium,whole_genome_bg
GO:BP,GO:0030335,positive regulation of cell migration,3.269973925516659e-05,11,544,46,0.2391304347826087,0.02022058823529412,breast_xenium_visium,whole_genome_bg
GO:BP,GO:0030154,cell differentiation,4.5042243356230126e-05,24,4443,38,0.631578947368421,0.0054017555705604325,breast_xenium_visium,whole_genome_bg
GO:BP,GO:0048869,cellular developmental process,4.525065290786395e-05,24,4444,38,0.631578947368421,0.0054005400540054005,breast_xenium_visium,whole_genome_bg
GO:BP,GO:0051239,regulation of multicellular organismal process,4.779181474518969e-05,21,2923,42,0.5,0.007184399589462881,breast_xenium_visium,whole_genome_bg
GO:BP,GO:0040012,regulation of locomotion,5.0007445336892076e-05,14,1046,46,0.30434782608695654,0.01338432122370937,breast_xenium_visium,whole_genome_bg
GO:BP,GO:0040011,locomotion,5.158370293587209e-05,15,1236,46,0.32608695652173914,0.012135922330097087,breast_xenium_visium,whole_genome_bg
GO:BP,GO:2000147,positive regulation of cell motility,5.3674838992149946e-05,11,571,46,0.2391304347826087,0.01926444833625219,breast_xenium_visium,whole_genome_bg
KEGG,KEGG:05219,Bladder cancer,6.224469442007382e-05,5,41,38,0.13157894736842105,0.12195121951219512,breast_xenium_visium,whole_genome_bg
GO:BP,GO:0040017,positive regulation of locomotion,6.991426769695684e-05,11,586,46,0.2391304347826087,0.01877133105802048,breast_xenium_visium,whole_genome_bg
GO:BP,GO:0009653,anatomical structure morphogenesis,8.740546496682044e-05,21,2699,46,0.45652173913043476,0.007780659503519822,breast_xenium_visium,whole_genome_bg
GO:BP,GO:0009888,tissue development,0.00015643822167153842,18,2014,46,0.391304347826087,0.00893743793445879,breast_xenium_visium,whole_genome_bg
GO:BP,GO:0048870,cell motility,0.00017735126399048606,17,1794,46,0.3695652173913043,0.00947603121516165,breast_xenium_visium,whole_genome_bg
REAC,REAC:R-HSA-9006931,Signaling by Nuclear Receptors,0.00023123166542928143,9,289,40,0.225,0.031141868512110725,breast_xenium_visium,whole_genome_bg
GO:BP,GO:0031099,regeneration,0.0002855550753504306,6,165,32,0.1875,0.03636363636363636,breast_xenium_visium,whole_genome_bg
GO:CC,GO:0031252,cell leading edge,0.0003104337764963033,8,423,43,0.18604651162790697,0.018912529550827423,breast_xenium_visium,whole_genome_bg
GO:CC,GO:0071944,cell periphery,0.0004161876517699104,29,6263,47,0.6170212765957447,0.004630368832827718,breast_xenium_visium,whole_genome_bg
GO:BP,GO:0098609,cell-cell adhesion,0.00044436767390618285,9,965,22,0.4090909090909091,0.00932642487046632,breast_xenium_visium,whole_genome_bg
GO:BP,GO:0006915,apoptotic process,0.0005574531676474294,16,1898,42,0.38095238095238093,0.008429926238145416,breast_xenium_visium,whole_genome_bg
GO:BP,GO:0032501,multicellular organismal process,0.0006318925179206451,32,7337,44,0.7272727272727273,0.0043614556358184545,breast_xenium_visium,whole_genome_bg
GO:BP,GO:0022408,negative regulation of cell-cell adhesion,0.0008115244181222907,6,197,32,0.1875,0.030456852791878174,breast_xenium_visium,whole_genome_bg
GO:BP,GO:0016477,cell migration,0.000851100456020909,15,1532,46,0.32608695652173914,0.0097911227154047,breast_xenium_visium,whole_genome_bg
GO:BP,GO:0012501,programmed cell death,0.0008518144619195777,16,1958,42,0.38095238095238093,0.008171603677221655,breast_xenium_visium,whole_genome_bg
GO:BP,GO:0008219,cell death,0.0008757485777807411,16,1962,42,0.38095238095238093,0.00815494393476045,breast_xenium_visium,whole_genome_bg
GO:CC,GO:0031012,extracellular matrix,0.00100777882425408,6,339,29,0.20689655172413793,0.017699115044247787,breast_xenium_visium,whole_genome_bg
GO:CC,GO:0030312,external encapsulating structure,0.0010249633587442858,6,340,29,0.20689655172413793,0.01764705882352941,breast_xenium_visium,whole_genome_bg
REAC,REAC:R-HSA-9029558,NR1H2 & NR1H3 regulate gene expression linked to lipogenesis,0.0015673891686804038,2,8,5,0.4,0.25,breast_xenium_visium,whole_genome_bg
