marker,median_ratio_bnd_over_body,mean_ratio,mean_body,n_cells_used
CD45,1.1339975483875406,1.494468633484714,0.00010604660488412138,366
CD40,1.0109041461184525,1.5693201305293987,7.161722687900346e-05,354
CD133,1.005035350851779,1.2027766056712788,0.00014990247096709753,368
CD47,1.0019740844776333,1.4774241160916084,0.000393087951617091,380
CD86,0.9999014672761181,2.468822446240138,4.41896873685612e-05,340
HLA1,0.9990307623406441,1.391087886862764,0.00011572813279494656,359
GFAP,0.9956584020144033,1.426146026249354,0.004909314520431537,343
CD123,0.9891726872338635,1.6674511906631386,0.00031068014251336306,345
Olig2,0.9813793588524922,1.4573743743361809,0.00028564502345080316,372
HLADR,0.9762276419093627,1.3161561501299346,6.472324470714982e-05,352
NeuN,0.971421723164198,1.5937842099262591,0.0001799274677028756,352
CD31,0.9708905616364908,1.8490804731000727,6.978714481720218e-05,353
TIM3,0.965255377784297,1.1269993686805115,0.0005988181009700947,377
PDL1,0.9593885314959525,1.3346174579159842,8.205983298531868e-05,349
IDO1,0.9558940991088085,1.1684560890175104,7.587017037118846e-05,357
CD38,0.9451176298278621,1.1119844494925692,0.0004065779046003237,374
CD3,0.9331672257175521,63.230590738172815,3.2997679276051554e-05,351
CD11b,0.9298304362740614,12.591947801655685,0.0001324308702065655,297
PD1,0.9024358201891702,1.27252983378022,0.0001345261347706326,326
CD4,0.8857264617727092,1.4510255276900665,3.3681102841404987e-05,305
CD14,0.8828658756103341,1.2655884081851034,7.21227996690281e-05,376
CD208,0.8786616741665131,1.1450840347368871,6.986561204027485e-05,345
Arginase1,0.8686330831455737,1.53200211715545,0.00011241528432696379,365
Calprotectin,0.8582518337353189,1.3159712906359247,9.273338968558074e-05,265
FoxP3,0.8560446275735583,1.8227762298636894,5.258803041979865e-05,321
Tox,0.854163915293322,1.3732998164636792,7.876567592148652e-05,337
LAG3,0.8487374130749369,1.3898687716108178,3.7316461309828126e-05,328
Ki67,0.8468817359396932,1.376133945349957,5.6449038051333326e-05,328
ICOS,0.8460475050395306,1.241697959881805,6.080577882969784e-05,355
TMEM119,0.8197995920148934,1.0823760177878048,0.00040509863799132,353
CD68,0.8158761699437942,1.72144374944539,4.174009985690479e-05,348
CD163,0.8108204235753177,1.10457249054569,0.00013056664794141332,377
CD141,0.7995309295755432,1.323716296140391,6.0725535394838644e-05,349
CD20,0.7931811702177899,1.2049767791384154,2.863306750654151e-05,329
CD209,0.7568726388152989,1.44925579000522,3.9782281183052814e-05,326
GLUT1,0.7419202940143428,14.989933452958367,0.0002833428975861173,180
iNOS,0.7314042403679895,1.4649997284474652,7.093320118134149e-05,272
CD206,0.7049941373620665,1.1515064906368513,3.7576266499123016e-05,337
CD8,0.5922615316717302,4.285841297520196,1.7989814638912097e-05,304
Chym_Tryp,0.053933421368041766,2.760973019911091,6.712654990583863e-06,173
