gene,median_boundary_frac,mean_boundary_frac,p25,p75,mean_cell_total,n_cells_used
EPCAM,0.45454545454545453,0.48605520184329926,0.25,0.7142857142857143,9.558459790740155,309854
CD24,0.4444444444444444,0.4752956027656288,0.23809523809523808,0.7,10.676475604801821,322461
CR2,0.40588235294117647,0.43607693810001674,0.08333333333333333,0.6666666666666666,5.308071748878924,2230
C1QBP,0.375,0.4136793339477756,0.0,0.6666666666666666,4.497562537486415,221747
CTSB,0.3333333333333333,0.368993061672358,0.0,0.5238095238095238,6.162036360470504,321613
AQP1,0.3333333333333333,0.36873531244752356,0.0,0.5,4.381652772898102,187854
CDH1,0.3333333333333333,0.3791650644146182,0.0,0.5714285714285714,3.5915383959148355,164106
CA2,0.3333333333333333,0.3708988899467325,0.0,0.5,3.797279110794999,143409
CDCA7,0.3333333333333333,0.3627510837340238,0.0,0.5,3.5992231825653533,150872
CMBL,0.3333333333333333,0.35185800247412163,0.0,0.5,2.9916633983970393,99441
DMBT1,0.3333333333333333,0.3440627792665337,0.0,0.5,3.8414869733201065,19153
CTNNB1,0.3076923076923077,0.3414740069565531,0.0,0.5,3.885964360669397,254438
COL1A1,0.2857142857142857,0.3454247354645029,0.07142857142857142,0.5,9.840958848712193,215133
CEACAM5,0.2857142857142857,0.32730321872840706,0.0,0.5,3.4341677179470156,45183
APOE,0.25,0.3133326556465261,0.0,0.5,4.4332545278000595,47374
CXCL10,0.25,0.3323586482438181,0.0,0.5,5.115334207077327,31283
CXCL13,0.25,0.3257734428516511,0.0,0.5,4.418314416311437,19471
EGFR,0.25,0.3202111053011957,0.0,0.5,2.9055101705137343,91195
CREB3L1,0.2,0.2929600943777949,0.0,0.5,2.713536076326774,67080
ACTA2,0.2,0.269859215233971,0.0,0.5,5.064669652855543,92872
CYBB,0.2,0.28740132307474997,0.0,0.5,4.221922860806547,69407
CXCL11,0.16666666666666666,0.2808984264620032,0.0,0.5,3.479450922021004,12093
COL5A2,0.16666666666666666,0.2700034741242713,0.0,0.5,4.516676664667067,83350
CHGA,0.1,0.29322320864449014,0.0,0.5,5.046391752577319,194
ANO7,0.0,0.09045226129648241,0.0,0.0,2.120603015075377,199
CFTR,0.0,0.11976898885939768,0.0,0.0,2.2169811320754715,212
CADPS,0.0,0.131640341602938,0.0,0.08333333333333333,3.375,296
AZGP1,0.0,0.17385673452822434,0.0,0.5,2.2958199356913185,311
CD79B,0.0,0.17247627262302273,0.0,0.5,2.166522864538395,1159
AVIL,0.0,0.0807606263903803,0.0,0.0,2.197986577181208,298
CHI3L2,0.0,0.18729096987012261,0.0,0.5,2.1237458193979935,299
CDK15,0.0,0.07436342591898149,0.0,0.0,2.2430555555555554,288
BATF,0.0,0.13050964184986225,0.0,0.0,2.103305785123967,242
DNASE1L3,0.0,0.2063332604064915,0.0,0.5,2.611940298507463,402
