gene,median_boundary_frac,mean_boundary_frac,p25,p75,mean_cell_total,n_cells_used
Fmod,0.14285714285714285,0.2457105961371254,0.0,0.4,7.510495563730794,4621
Dcn,0.14285714285714285,0.2419171848724228,0.0,0.4,6.933530280649926,8124
Aldh1a2,0.14285714285714285,0.23623316136680875,0.0,0.375,6.778098537336413,5196
Igf2,0.125,0.22672348247235005,0.0,0.3333333333333333,8.330802305370048,10931
Slc17a7,0.1111111111111111,0.17568002182815742,0.0,0.25,16.05942946684306,77857
Slc13a4,0.1111111111111111,0.21297562033177797,0.0,0.3333333333333333,7.3315111284654435,5122
Nrn1,0.07692307692307693,0.16807531207649973,0.0,0.25,10.400515064317343,76107
Arc,0.06666666666666667,0.15723050588860857,0.0,0.25,7.13155694297341,53817
Acta2,0.06458333333333333,0.21868143535467116,0.0,0.35294117647058826,7.589454247025031,4874
Dner,0.058823529411764705,0.1570285067415952,0.0,0.25,9.26246985519582,91641
Spp1,0.044466403162055336,0.20255878767254085,0.0,0.3333333333333333,6.649980672593738,5174
Rims3,0.03571428571428571,0.1406860481598461,0.0,0.2,8.48430279863062,65139
Gad1,0.02702702702702703,0.16948676933977233,0.0,0.25,10.236740986717267,42160
Slc17a6,0.023255813953488372,0.1439536321076112,0.0,0.2,10.665471495159556,36257
Plcxd2,0.0,0.1314335062669883,0.0,0.2,5.402281282080529,43835
Plch1,0.0,0.07692356594740384,0.0,0.0,2.8685743881911177,7723
Acsbg1,0.0,0.1549259191771182,0.0,0.25,5.701921804467056,68009
Pkib,0.0,0.057828760640886157,0.0,0.0,2.2142857142857144,2114
Plcxd3,0.0,0.11649708257419349,0.0,0.16666666666666666,4.92967409948542,30899
Pglyrp1,0.0,0.05819420698287036,0.0,0.0,3.9479353680430878,8355
Penk,0.0,0.1554805037308279,0.0,0.25,8.186749055956058,17478
Pecam1,0.0,0.10053588505701506,0.0,0.07142857142857142,4.512143214822233,15976
Pip5k1b,0.0,0.13089670729794725,0.0,0.2,4.0684137291280145,34496
Pln,0.0,0.2061973114687172,0.0,0.3333333333333333,5.6019590382902935,2246
Plekha2,0.0,0.1351278625839151,0.0,0.2,3.0575068870523414,14520
Pdzd2,0.0,0.10073890801517381,0.0,0.0,2.9767208084228347,18901
Pou3f1,0.0,0.11331737755415569,0.0,0.1,3.182557280118256,6765
Ppp1r1b,0.0,0.1217921354918916,0.0,0.18518518518518517,4.932618897527492,28554
Prdm8,0.0,0.1310153310396683,0.0,0.2,3.712251655629139,18120
Prox1,0.0,0.12498607373540922,0.0,0.18181818181818182,5.482286471995619,34691
Prph,0.0,0.11446934751805096,0.0,0.0,3.350336322869955,1784
Prr16,0.0,0.07140766259492712,0.0,0.0,2.7318855711004386,9578
Prss35,0.0,0.06964985993834033,0.0,0.0,2.3911764705882352,1020
Pthlh,0.0,0.07956472427789117,0.0,0.0,3.5976514215080346,1618
Pvalb,0.0,0.14990134386288667,0.0,0.25,8.948859031776498,23445
Rab3b,0.0,0.11992653274946764,0.0,0.16666666666666666,4.959419156114017,20453
Rasgrf2,0.0,0.140318263035055,0.0,0.2222222222222222,6.06577408033277,46158
Pdzrn3,0.0,0.08673792255608112,0.0,0.0,3.7044391360605156,20094
Pde11a,0.0,0.09552706034743229,0.0,0.0,3.5449101796407185,3340
Pdyn,0.0,0.1371354560012415,0.0,0.2,5.481170801356416,5603
Npy2r,0.0,0.11908495013328975,0.0,0.16666666666666666,3.2895644674428635,4638
Necab1,0.0,0.12470286084900004,0.0,0.2,5.96089227061131,42319
Necab2,0.0,0.1269857647944387,0.0,0.2,4.380679203607694,32597
NegControlProbe_00017,0.0,0.0,0.0,0.0,2.0625,32
NegControlProbe_00022,0.0,0.020833333333333332,0.0,0.0,2.0416666666666665,24
NegControlProbe_00035,0.0,0.11538461538461539,0.0,0.0,2.0,13
NegControlProbe_00041,0.0,0.045454545454545456,0.0,0.0,2.0303030303030303,33
NegControlProbe_00042,0.0,0.0625,0.0,0.0,2.0,16
NegControlProbe_00044,0.0,0.05,0.0,0.0,2.0142857142857142,70
Nell1,0.0,0.10805322642113822,0.0,0.14285714285714285,5.382534005628518,34112
Neto2,0.0,0.1016893414740992,0.0,0.1111111111111111,3.8920290690967816,34676
Neurod6,0.0,0.13590220056734142,0.0,0.2,8.361549073709105,30444
Nostrin,0.0,0.04853063117974533,0.0,0.0,2.9627942293090355,6585
