image_id,image_path,cell_i,cell_j,contact_px,iface_cy,iface_cx,aj_threshold,aj_channel_idx,cell_channel_idx,nuc_channel_idx,golgi_channel_idx,aj_mean_intensity,aj_max_intensity,aj_std_intensity,aj_occupancy,aj_intensity_per_interface,aj_cluster_count,aj_cluster_area_mean,aj_skeleton_len,aj_linearity_index,aj_thickness_proxy,aj_morph
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,1,2,126,26.11111111111111,38.5,0.482421875,2,2,1,0,0.7405684872922776,1.0,0.25015093985385284,0.7838541666666666,0.660575004072988,1,301.0,71.0,0.8614449738410365,4.23943661971831,straight
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,2,3,58,14.0,120.77586206896552,0.482421875,2,2,1,0,0.6134571521668296,1.0,0.2624027717238821,0.6666666666666666,0.5099543825350277,4,30.0,39.0,2.0413532981018334,3.076923076923077,reticular
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,7,8,22,5.0,791.2272727272727,0.482421875,2,2,1,0,0.22352557836428805,0.7448680351906158,0.17537883134328375,0.1111111111111111,0.06204518301292494,2,4.0,6.0,1.2,1.3333333333333333,straight
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,4,5,327,26.92354740061162,431.23853211009174,0.482421875,2,2,1,0,0.19161012159286955,0.7956989247311828,0.15491488665179493,0.055499495459132187,0.033792894604717134,15,3.6666666666666665,40.0,0.35261798974167813,1.375,reticular
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,6,7,25,6.76,634.68,0.482421875,2,2,1,0,0.3298947731585303,0.6529814271749755,0.14019610599501484,0.16470588235294117,0.09124259674544305,6,2.3333333333333335,10.0,1.1785113019775793,1.4,reticular
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,8,9,203,32.45320197044335,943.5418719211823,0.482421875,2,2,1,0,0.41395160499451134,1.0,0.24866629225281658,0.38996763754045305,0.2635072934164698,8,30.125,109.0,1.2694172072704075,2.2110091743119265,reticular
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,7,10,187,12.60427807486631,686.1016042780749,0.482421875,2,2,1,0,0.33516042028117693,1.0,0.20100045795020857,0.24083769633507854,0.15049498532018377,8,17.25,74.0,0.9364088258828797,1.864864864864865,reticular
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,7,11,128,19.0625,760.5,0.482421875,2,2,1,0,0.1340778261599376,0.6940371456500489,0.12287122575185447,0.017676767676767676,0.010138037264136973,5,1.4,7.0,0.17489072743236767,1.0,fingers
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,8,11,207,28.357487922705314,843.7487922705315,0.482421875,2,2,1,0,0.17428527748050757,0.8709677419354839,0.17257122042341258,0.08530805687203792,0.05158140030483707,13,4.153846153846154,40.0,0.43140634466966293,1.35,reticular
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,6,10,38,22.0,640.3421052631579,0.482421875,2,2,1,0,0.39743828453505875,1.0,0.2614349687972124,0.29365079365079366,0.21928191283029994,3,12.333333333333334,12.0,0.8571428571428571,3.0833333333333335,straight
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,3,12,192,27.958333333333332,172.5,0.482421875,2,2,1,0,0.44804696071977185,1.0,0.28421856881096785,0.41156462585034015,0.30540427314620866,11,22.0,112.0,1.187197625607123,2.1607142857142856,reticular
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,10,11,84,45.5,708.5,0.482421875,2,2,1,0,0.16922238887272129,0.8250244379276638,0.1512897356446468,0.05725190839694656,0.034533963122980606,5,3.0,8.0,0.1982117723325777,1.875,fingers
EGM2_regular_static-17,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,5,6,24,31.5,527.5,0.482421875,2,2,1,0,0.24365777591584048,0.8748778103616813,0.18012423137657663,0.13095238095238096,0.08234417911837266,2,5.5,8.0,0.8122769321068953,1.375,straight
